class,gender,age,bodyType,profession,pregnant,isYou,species,isPet,role
animal,male,3,overweight,,,,dog,true,pedestrian
person,male,22,athletic,ceo,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,female,28,athletic,homeless,true,false,,,passenger
person,male,32,overweight,doctor,false,false,,,passenger
person,female,14,athletic,none,false,false,,,pedestrian
person,male,20,athletic,unemployed,false,false,,,pedestrian
person,female,63,overweight,doctor,true,false,,,pedestrian
person,male,56,average,homeless,false,false,,,pedestrian
person,male,2,athletic,none,false,false,,,pedestrian
person,female,52,athletic,doctor,false,false,,,pedestrian
animal,male,13,overweight,,,,dog,false,pedestrian
scenario:green,,,,,,,,,
person,male,90,athletic,none,false,false,,,passenger
person,female,62,average,ceo,false,false,,,passenger
person,female,85,athletic,none,false,false,,,passenger
person,female,67,athletic,ceo,true,false,,,passenger
person,male,49,overweight,unemployed,false,false,,,pedestrian
person,female,69,average,none,false,false,,,pedestrian
person,female,2,overweight,none,false,false,,,pedestrian
person,male,88,overweight,none,false,false,,,pedestrian
person,male,94,overweight,none,false,false,,,pedestrian
person,female,68,athletic,homeless,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,male,82,overweight,none,false,false,,,passenger
person,female,98,overweight,none,false,false,,,passenger
animal,female,8,average,,,,cat,true,passenger
person,male,72,overweight,none,false,false,,,passenger
person,female,97,athletic,none,false,false,,,pedestrian
person,male,19,average,homeless,false,false,,,pedestrian
person,female,27,athletic,unknown,true,false,,,pedestrian
person,female,78,overweight,none,false,false,,,pedestrian
animal,female,16,athletic,,,,cat,false,pedestrian
person,male,77,average,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,male,31,average,doctor,false,false,,,passenger
person,female,0,overweight,none,false,false,,,passenger
person,male,39,average,unemployed,false,false,,,passenger
person,female,34,average,ceo,false,false,,,passenger
person,male,29,average,ceo,false,false,,,passenger
person,female,48,athletic,ceo,true,true,,,pedestrian
person,female,46,overweight,unknown,true,false,,,pedestrian
person,male,39,average,ceo,false,false,,,pedestrian
person,male,46,average,ceo,false,false,,,pedestrian
scenario:red,,,,,,,,,
animal,female,8,average,,,,cat,true,passenger
person,male,26,athletic,ceo,false,false,,,passenger
person,male,85,athletic,none,false,false,,,pedestrian
person,male,100,average,none,false,false,,,pedestrian
animal,female,7,average,,,,dog,true,pedestrian
animal,female,10,average,,,,dog,true,pedestrian
person,male,25,athletic,homeless,false,false,,,pedestrian
person,female,86,athletic,none,false,false,,,pedestrian
person,male,34,athletic,criminal,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,female,11,average,none,false,false,,,passenger
person,male,91,overweight,none,false,false,,,passenger
person,male,20,athletic,homeless,false,false,,,passenger
animal,female,20,average,,,,dog,false,pedestrian
animal,female,0,athletic,,,,dog,false,pedestrian
person,female,26,average,doctor,false,true,,,pedestrian
person,male,89,overweight,none,false,false,,,pedestrian
person,female,92,average,none,false,false,,,pedestrian
person,female,27,average,ceo,false,false,,,pedestrian
person,male,46,average,ceo,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,male,14,overweight,none,false,false,,,passenger
person,female,57,overweight,unknown,false,false,,,pedestrian
person,female,15,average,none,false,false,,,pedestrian
person,female,40,athletic,doctor,false,false,,,pedestrian
person,male,40,overweight,criminal,false,false,,,pedestrian
person,female,48,overweight,homeless,true,false,,,pedestrian
animal,male,16,athletic,,,,dog,true,pedestrian
person,male,3,average,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,male,19,athletic,ceo,false,false,,,passenger
person,male,29,average,ceo,false,false,,,passenger
animal,female,14,overweight,,,,cat,false,passenger
person,male,55,overweight,ceo,false,false,,,passenger
person,male,60,average,ceo,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,female,48,average,ceo,true,false,,,passenger
animal,male,0,overweight,,,,dog,false,passenger
person,male,34,overweight,homeless,false,false,,,passenger
person,female,44,overweight,doctor,true,false,,,passenger
person,female,43,overweight,homeless,true,false,,,passenger
person,male,86,overweight,none,false,false,,,passenger
person,male,14,overweight,none,false,false,,,passenger
animal,female,9,overweight,,,,cat,false,pedestrian
person,male,57,overweight,homeless,false,false,,,pedestrian
animal,male,5,overweight,,,,dog,true,pedestrian
scenario:red,,,,,,,,,
animal,male,7,average,,,,cat,false,passenger
person,male,60,athletic,ceo,false,false,,,passenger
person,female,73,overweight,none,false,false,,,passenger
person,female,7,overweight,none,false,false,,,passenger
person,male,33,athletic,unemployed,false,false,,,passenger
animal,female,19,athletic,,,,dog,true,pedestrian
scenario:red,,,,,,,,,
person,male,20,overweight,criminal,false,true,,,passenger
person,female,16,overweight,none,false,false,,,passenger
person,female,9,athletic,none,false,false,,,pedestrian
animal,female,12,athletic,,,,ferret,false,pedestrian
person,male,76,athletic,none,false,false,,,pedestrian
person,female,13,overweight,none,false,false,,,pedestrian
animal,female,1,overweight,,,,ferret,false,pedestrian
person,female,14,average,none,false,false,,,pedestrian
person,male,53,athletic,homeless,false,false,,,pedestrian
scenario:red,,,,,,,,,
animal,male,6,overweight,,,,cat,false,passenger
animal,female,0,athletic,,,,dog,false,passenger
person,male,53,overweight,doctor,false,false,,,passenger
person,female,80,athletic,none,false,false,,,passenger
person,female,17,athletic,ceo,false,false,,,pedestrian
animal,female,15,average,,,,dog,true,pedestrian
person,female,27,overweight,homeless,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,female,83,overweight,none,false,false,,,passenger
animal,female,2,average,,,,dog,false,passenger
animal,female,5,athletic,,,,cat,false,passenger
person,female,26,overweight,ceo,false,false,,,pedestrian
person,female,29,athletic,ceo,false,false,,,pedestrian
scenario:red,,,,,,,,,
animal,female,1,overweight,,,,ferret,true,passenger
person,female,31,average,doctor,true,false,,,passenger
person,male,22,overweight,homeless,false,false,,,passenger
person,male,95,overweight,none,false,false,,,passenger
animal,male,16,athletic,,,,cat,false,passenger
animal,female,6,average,,,,ferret,false,passenger
animal,male,13,average,,,,cat,false,pedestrian
person,female,3,overweight,none,false,false,,,pedestrian
person,male,60,athletic,unemployed,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,male,80,average,none,false,false,,,passenger
person,female,10,overweight,none,false,false,,,passenger
person,female,63,average,ceo,false,false,,,passenger
animal,male,11,athletic,,,,ferret,true,passenger
person,male,30,overweight,unknown,false,false,,,passenger
person,female,23,athletic,unemployed,false,false,,,passenger
person,male,56,athletic,doctor,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,male,45,overweight,ceo,false,false,,,passenger
person,female,92,average,none,false,false,,,passenger
person,male,75,average,none,false,false,,,passenger
animal,male,17,athletic,,,,ferret,true,passenger
animal,female,16,athletic,,,,cat,true,passenger
person,male,14,average,none,false,false,,,pedestrian
person,female,33,athletic,unknown,false,false,,,pedestrian
animal,male,6,average,,,,ferret,true,pedestrian
scenario:green,,,,,,,,,
person,male,7,athletic,none,false,true,,,passenger
person,male,16,athletic,none,false,false,,,passenger
person,male,11,overweight,none,false,false,,,pedestrian
person,female,47,average,homeless,false,false,,,pedestrian
person,male,51,athletic,criminal,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,female,36,average,homeless,true,false,,,passenger
person,male,47,overweight,unemployed,false,false,,,pedestrian
person,female,71,athletic,none,false,false,,,pedestrian
person,male,65,athletic,homeless,false,false,,,pedestrian
animal,male,16,average,,,,ferret,true,pedestrian
person,male,93,athletic,none,false,false,,,pedestrian
person,female,7,average,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,male,4,average,none,false,false,,,passenger
person,male,27,athletic,unknown,false,false,,,passenger
person,male,54,athletic,criminal,false,false,,,passenger
person,male,96,athletic,none,false,false,,,passenger
person,male,81,average,none,false,false,,,passenger
animal,female,0,overweight,,,,ferret,true,passenger
person,male,71,overweight,none,false,false,,,passenger
person,female,36,athletic,unknown,true,false,,,pedestrian
person,male,85,overweight,none,false,false,,,pedestrian
person,female,61,athletic,ceo,true,false,,,pedestrian
scenario:red,,,,,,,,,
person,male,88,athletic,none,false,false,,,passenger
person,male,44,athletic,homeless,false,false,,,passenger
animal,male,2,athletic,,,,ferret,false,passenger
animal,male,18,overweight,,,,dog,true,passenger
person,male,19,athletic,unknown,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,male,44,athletic,doctor,false,false,,,passenger
person,male,45,athletic,homeless,false,false,,,passenger
person,female,88,athletic,none,false,false,,,passenger
animal,female,6,overweight,,,,ferret,false,passenger
animal,female,5,athletic,,,,cat,true,passenger
person,male,35,athletic,doctor,false,false,,,pedestrian
person,female,46,athletic,unemployed,true,false,,,pedestrian
person,male,69,athletic,none,false,false,,,pedestrian
person,male,57,overweight,ceo,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,male,70,athletic,none,false,false,,,passenger
person,male,95,athletic,none,false,false,,,passenger
person,male,42,athletic,homeless,false,false,,,passenger
person,male,67,average,unknown,false,false,,,passenger
person,female,7,overweight,none,false,false,,,pedestrian
person,male,28,overweight,doctor,false,false,,,pedestrian
person,female,53,athletic,doctor,true,false,,,pedestrian
person,male,11,average,none,false,false,,,pedestrian
person,female,57,overweight,homeless,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,male,81,athletic,none,false,true,,,passenger
person,male,22,athletic,homeless,false,false,,,passenger
person,female,82,athletic,none,false,false,,,passenger
person,male,56,overweight,ceo,false,false,,,passenger
person,male,8,average,none,false,false,,,passenger
person,male,91,overweight,none,false,false,,,passenger
animal,female,0,overweight,,,,ferret,true,passenger
animal,female,14,athletic,,,,dog,false,pedestrian
person,female,10,overweight,none,false,false,,,pedestrian
person,male,19,athletic,doctor,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,male,9,athletic,none,false,false,,,passenger
person,female,59,overweight,ceo,false,false,,,passenger
person,male,75,athletic,none,false,false,,,passenger
person,male,4,average,none,false,false,,,passenger
animal,female,7,overweight,,,,dog,true,passenger
person,female,61,athletic,ceo,false,false,,,pedestrian
person,female,3,overweight,none,false,false,,,pedestrian
person,female,64,athletic,ceo,true,false,,,pedestrian
person,female,100,overweight,none,false,false,,,pedestrian
person,female,25,average,homeless,false,false,,,pedestrian
animal,female,5,average,,,,ferret,false,pedestrian
scenario:green,,,,,,,,,
person,female,47,athletic,ceo,true,false,,,passenger
person,female,57,athletic,criminal,false,false,,,passenger
person,male,80,athletic,none,false,false,,,passenger
person,female,40,average,homeless,false,false,,,pedestrian
person,male,81,average,none,false,false,,,pedestrian
person,female,67,athletic,criminal,true,false,,,pedestrian
person,female,29,athletic,ceo,true,false,,,pedestrian
person,male,30,athletic,doctor,false,false,,,pedestrian
person,male,27,overweight,criminal,false,false,,,pedestrian
person,male,60,average,unknown,false,false,,,pedestrian
scenario:red,,,,,,,,,
animal,male,0,average,,,,dog,true,passenger
person,female,7,average,none,false,false,,,passenger
person,female,91,average,none,false,false,,,passenger
person,male,72,average,none,false,false,,,pedestrian
person,male,55,athletic,unemployed,false,false,,,pedestrian
person,male,12,average,none,false,false,,,pedestrian
person,male,35,athletic,ceo,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,female,49,average,doctor,true,false,,,passenger
animal,female,6,athletic,,,,dog,false,passenger
person,female,32,athletic,unknown,false,false,,,pedestrian
animal,female,13,average,,,,dog,true,pedestrian
person,female,16,average,none,false,false,,,pedestrian
animal,female,12,average,,,,cat,false,pedestrian
scenario:green,,,,,,,,,
person,female,85,average,none,false,false,,,passenger
person,female,64,athletic,ceo,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,male,81,average,none,false,false,,,passenger
animal,female,8,athletic,,,,dog,true,passenger
person,female,50,overweight,unknown,false,false,,,passenger
person,female,49,average,ceo,false,false,,,passenger
person,male,8,average,none,false,false,,,passenger
animal,female,7,athletic,,,,ferret,true,passenger
person,male,80,overweight,none,false,false,,,passenger
person,female,8,average,none,false,false,,,pedestrian
person,female,87,athletic,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,male,41,overweight,ceo,false,false,,,passenger
person,female,19,overweight,unknown,false,false,,,passenger
animal,female,5,overweight,,,,cat,false,passenger
person,male,93,overweight,none,false,false,,,passenger
person,male,86,athletic,none,false,false,,,passenger
person,male,62,athletic,doctor,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,male,66,overweight,ceo,false,false,,,passenger
person,male,17,athletic,homeless,false,false,,,passenger
person,male,88,overweight,none,false,false,,,passenger
person,male,33,average,unemployed,false,false,,,passenger
person,female,19,athletic,doctor,false,false,,,pedestrian
person,female,98,average,none,false,false,,,pedestrian
animal,male,12,average,,,,ferret,false,pedestrian
animal,male,16,average,,,,cat,false,pedestrian
person,female,75,overweight,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,female,75,overweight,none,false,false,,,passenger
person,male,67,overweight,criminal,false,false,,,passenger
person,female,18,athletic,homeless,true,false,,,passenger
person,male,48,athletic,unemployed,false,false,,,passenger
person,male,30,average,doctor,false,false,,,passenger
person,male,3,overweight,none,false,false,,,pedestrian
person,male,100,overweight,none,false,false,,,pedestrian
person,female,8,athletic,none,false,false,,,pedestrian
person,male,68,overweight,unknown,false,false,,,pedestrian
animal,female,11,athletic,,,,ferret,true,pedestrian
scenario:red,,,,,,,,,
animal,male,8,overweight,,,,cat,false,passenger
person,male,94,overweight,none,false,false,,,passenger
animal,female,12,overweight,,,,ferret,false,passenger
person,male,46,overweight,doctor,false,false,,,passenger
person,male,17,average,doctor,false,false,,,passenger
person,male,100,average,none,false,false,,,passenger
person,female,69,average,none,false,false,,,passenger
person,female,8,athletic,none,false,false,,,pedestrian
person,female,67,overweight,unknown,true,false,,,pedestrian
animal,male,12,athletic,,,,dog,true,pedestrian
person,female,43,overweight,homeless,false,false,,,pedestrian
person,female,2,average,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,male,27,average,ceo,false,false,,,passenger
person,female,29,athletic,ceo,false,false,,,passenger
person,female,6,average,none,false,false,,,passenger
person,female,57,athletic,criminal,false,false,,,passenger
person,female,90,athletic,none,false,false,,,passenger
person,female,64,average,homeless,true,false,,,pedestrian
person,male,6,average,none,false,false,,,pedestrian
person,male,24,overweight,doctor,false,false,,,pedestrian
person,female,80,average,none,false,false,,,pedestrian
person,female,40,athletic,doctor,false,false,,,pedestrian
person,female,43,overweight,ceo,false,false,,,pedestrian
person,female,16,overweight,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,female,17,athletic,criminal,false,false,,,passenger
person,male,61,overweight,doctor,false,false,,,passenger
person,male,7,athletic,none,false,false,,,passenger
person,male,44,overweight,doctor,false,false,,,passenger
person,female,79,athletic,none,false,false,,,passenger
person,male,12,overweight,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,male,100,athletic,none,false,false,,,passenger
person,female,32,average,criminal,false,false,,,pedestrian
person,male,61,average,homeless,false,false,,,pedestrian
person,female,68,athletic,unknown,false,false,,,pedestrian
person,male,76,average,none,false,false,,,pedestrian
person,female,29,average,homeless,true,false,,,pedestrian
person,male,42,overweight,homeless,false,false,,,pedestrian
person,female,77,overweight,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,female,34,athletic,criminal,true,false,,,passenger
person,male,55,athletic,ceo,false,false,,,passenger
person,male,75,overweight,none,false,false,,,passenger
person,male,45,athletic,unemployed,false,false,,,passenger
person,female,10,overweight,none,false,false,,,passenger
person,female,34,overweight,homeless,false,false,,,passenger
animal,female,3,athletic,,,,ferret,false,pedestrian
person,male,92,overweight,none,false,false,,,pedestrian
person,male,84,overweight,none,false,false,,,pedestrian
person,male,85,overweight,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,male,7,athletic,none,false,false,,,passenger
person,female,43,average,ceo,false,false,,,passenger
person,male,67,athletic,doctor,false,false,,,pedestrian
scenario:green,,,,,,,,,
animal,female,20,athletic,,,,dog,true,passenger
animal,female,9,overweight,,,,cat,false,pedestrian
person,female,78,average,none,false,false,,,pedestrian
animal,female,4,overweight,,,,dog,true,pedestrian
person,female,39,athletic,ceo,true,false,,,pedestrian
person,male,96,athletic,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,female,56,average,unemployed,true,false,,,passenger
animal,female,9,overweight,,,,cat,true,passenger
person,female,84,overweight,none,false,false,,,passenger
person,male,47,overweight,unknown,false,false,,,passenger
person,female,90,average,none,false,false,,,passenger
person,male,81,athletic,none,false,false,,,passenger
person,male,22,overweight,ceo,false,false,,,passenger
person,male,95,athletic,none,false,true,,,pedestrian
scenario:red,,,,,,,,,
animal,female,0,athletic,,,,cat,false,passenger
animal,female,7,average,,,,ferret,true,passenger
person,female,64,average,ceo,false,true,,,passenger
person,male,20,overweight,ceo,false,false,,,passenger
person,female,84,average,none,false,false,,,pedestrian
person,female,16,athletic,none,false,false,,,pedestrian
animal,female,5,average,,,,ferret,false,pedestrian
person,male,79,average,none,false,false,,,pedestrian
person,female,81,overweight,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,female,23,athletic,ceo,true,false,,,passenger
animal,male,19,average,,,,cat,true,passenger
person,female,48,athletic,homeless,true,false,,,passenger
animal,female,12,average,,,,cat,true,passenger
person,male,58,overweight,homeless,false,false,,,passenger
animal,male,8,overweight,,,,cat,false,passenger
person,male,52,athletic,ceo,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,female,4,athletic,none,false,false,,,passenger
person,male,96,athletic,none,false,false,,,passenger
person,female,81,average,none,false,false,,,pedestrian
animal,male,13,athletic,,,,ferret,true,pedestrian
person,male,5,average,none,false,false,,,pedestrian
person,male,48,overweight,criminal,false,false,,,pedestrian
person,female,85,athletic,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
animal,male,12,average,,,,dog,true,passenger
animal,female,5,athletic,,,,cat,true,passenger
person,female,83,average,none,false,false,,,passenger
person,female,6,average,none,false,true,,,pedestrian
person,male,5,athletic,none,false,false,,,pedestrian
person,male,65,average,homeless,false,false,,,pedestrian
animal,male,2,average,,,,ferret,false,pedestrian
person,female,99,athletic,none,false,false,,,pedestrian
person,male,75,overweight,none,false,false,,,pedestrian
person,female,32,average,ceo,false,false,,,pedestrian
scenario:green,,,,,,,,,
animal,male,15,overweight,,,,cat,false,passenger
person,male,37,overweight,unknown,false,false,,,passenger
animal,female,5,overweight,,,,dog,true,passenger
animal,male,8,overweight,,,,cat,false,passenger
person,female,66,athletic,homeless,true,false,,,passenger
person,female,1,average,none,false,false,,,pedestrian
person,female,23,overweight,ceo,false,false,,,pedestrian
animal,male,17,athletic,,,,ferret,true,pedestrian
person,male,5,overweight,none,false,false,,,pedestrian
person,male,99,athletic,none,false,false,,,pedestrian
person,female,67,athletic,criminal,true,false,,,pedestrian
animal,male,16,average,,,,cat,true,pedestrian
scenario:red,,,,,,,,,
person,male,1,athletic,none,false,false,,,passenger
person,female,70,athletic,none,false,false,,,passenger
person,female,89,overweight,none,false,false,,,passenger
person,female,74,athletic,none,false,false,,,passenger
person,male,35,average,homeless,false,false,,,passenger
animal,male,16,athletic,,,,ferret,false,passenger
animal,female,20,athletic,,,,dog,false,passenger
person,female,65,overweight,ceo,true,false,,,pedestrian
person,male,43,athletic,homeless,false,false,,,pedestrian
person,female,42,athletic,ceo,false,false,,,pedestrian
person,female,10,overweight,none,false,false,,,pedestrian
person,male,96,overweight,none,false,false,,,pedestrian
person,male,58,overweight,unemployed,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,female,1,overweight,none,false,false,,,passenger
animal,male,12,athletic,,,,dog,true,pedestrian
animal,male,2,average,,,,ferret,true,pedestrian
person,female,57,athletic,criminal,true,false,,,pedestrian
person,male,99,average,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
animal,male,0,athletic,,,,ferret,true,passenger
person,female,16,athletic,none,false,false,,,pedestrian
person,male,47,overweight,criminal,false,false,,,pedestrian
person,male,79,athletic,none,false,false,,,pedestrian
person,male,30,overweight,criminal,false,false,,,pedestrian
scenario:red,,,,,,,,,
person,female,22,athletic,unknown,false,false,,,passenger
person,male,70,average,none,false,false,,,passenger
person,female,46,average,ceo,true,false,,,passenger
person,male,94,overweight,none,false,false,,,passenger
person,female,74,overweight,none,false,false,,,passenger
animal,female,18,athletic,,,,ferret,true,passenger
person,male,93,athletic,none,false,false,,,passenger
person,female,12,average,none,false,false,,,pedestrian
person,female,96,overweight,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
person,male,35,average,ceo,false,true,,,passenger
person,male,31,athletic,unknown,false,false,,,passenger
person,female,35,athletic,unknown,true,false,,,passenger
person,male,36,athletic,homeless,false,false,,,passenger
animal,male,2,athletic,,,,ferret,true,pedestrian
scenario:green,,,,,,,,,
person,female,91,average,none,false,false,,,passenger
person,female,98,overweight,none,false,false,,,passenger
animal,female,10,athletic,,,,dog,false,passenger
animal,female,14,athletic,,,,ferret,true,passenger
person,male,46,athletic,ceo,false,false,,,passenger
person,male,8,average,none,false,false,,,passenger
person,male,25,athletic,ceo,false,false,,,pedestrian
animal,female,7,athletic,,,,ferret,true,pedestrian
person,male,81,athletic,none,false,false,,,pedestrian
person,male,80,overweight,none,false,false,,,pedestrian
person,male,77,average,none,false,false,,,pedestrian
person,male,61,overweight,unemployed,false,false,,,pedestrian
